Start Frame,End Frame
150,193
234,268
332,348
409,449
489,516
608,633
691,715
858,898
978,1011
1082,1109
1172,1204
1259,1303
1333,1361
1410,1423
1608,1635
1704,1732
1803,1848
1920,1943
2036,2060
2132,2168
2198,2225
2275,2311
2343,2385
2450,2478
2584,2616
2650,2689
2722,2757
2825,2854
2911,2939
3054,3126
3141,3178
3271,3319
3384,3401
3471,3503
3653,3710
3718,3761
3919,3943
4007,4048
4114,4151
4216,4252
4321,4340
4452,4511
4516,4556
4588,4604
4687,4733
4778,4803
4858,4889
4966,5032
5040,5072
5114,5155
5199,5231
5340,5382
5407,5431
5524,5542
5649,5683
5717,5756
5786,5822
5874,5912
6057,6111
6140,6173
6219,6265
6344,6378
6422,6485
6495,6522
6596,6622
6784,6798
6854,6884
6948,6975
7029,7056
7122,7163
7393,7398
