Start Frame,End Frame
212,238
307,338
409,456
510,555
647,671
818,847
933,962
1097,1138
1209,1240
1384,1426
1506,1572
1627,1651
1796,1840
2016,2045
2145,2170
2257,2285
2395,2417
2511,2584
2625,2651
2840,2854
2943,2985
3109,3130
3279,3301
3392,3452
3553,3574
3692,3731
3794,3815
3937,3961
4059,4092
4238,4266
4354,4376
4477,4501
4627,4657
4745,4789
4886,4944
5008,5047
5168,5192
5334,5369
5516,5541
5641,5663
5741,5761
5875,5896
6018,6042
6135,6164
6252,6280
6357,6377
6476,6516
6572,6600
6676,6697
6808,6826
6949,6967
7070,7092
7199,7243
7429,7448
7547,7571
7662,7674
