Start Frame,End Frame
220,260
350,392
448,484
661,695
804,849
928,963
1055,1082
1190,1228
1295,1325
1409,1447
1541,1589
1687,1731
1808,1857
1939,1988
2089,2136
2194,2234
2378,2410
2516,2562
2631,2661
2720,2751
2824,2859
2930,2955
3042,3075
3137,3171
3247,3286
3433,3477
3531,3555
3784,3834
3979,4021
4121,4160
4295,4320
4415,4454
4571,4606
4722,4759
4861,4883
4974,4998
5088,5110
5187,5220
5301,5327
5415,5439
5534,5566
5645,5675
5777,5806
5936,5991
6057,6081
6188,6209
6328,6382
6434,6468
6613,6655
6798,6834
6907,6940
7014,7040
7129,7165
7255,7284
