Start Frame,End Frame
251,277
361,435
491,574
608,643
706,754
914,958
1017,1054
1154,1215
1286,1309
1400,1449
1517,1558
1621,1658
1745,1789
1842,1879
2139,2152
2315,2369
2430,2458
2527,2568
2619,2664
2776,2813
2904,2944
2995,3023
3126,3154
3319,3371
3523,3602
3658,3704
3823,3874
3954,3997
4114,4159
4255,4306
4438,4480
4604,4656
4741,4787
4878,4918
5005,5042
5182,5222
5317,5360
5454,5477
5587,5626
5694,5734
5815,5844
5956,5986
6058,6086
6176,6222
6285,6313
6464,6490
6595,6631
6687,6713
6798,6839
6891,6913
7059,7103
7228,7260
